PROD_DATE,WELL_NAME,ON_STREAM_HRS,BOTTOMHOLE_FLOWING_PRESSURE (PSI),DOWNHOLE_TEMPERATURE (deg F),ANNULUS_PRESS (PSI),CHOKE_SIZE (%),WELL_HEAD_PRESSURE (PSI),WELL_HEAD_TEMPERATURE (deg F),CUMULATIVE_OIL_PROD (STB),CUMULATIVE_FORMATION_GAS_PROD (MSCF),CUMULATIVE_TOTAL_GAS_PROD (MSCF),CUMULATIVE_WATER_PROD (BBL),RESERVOIR_CLASSIFICATION
2012-01-01,Well_#2,9.5,3719,203.818,0.0,42.68,1547.85,70.407,94,66,66,65,KEMA
2012-01-02,Well_#2,24.0,3640,207.344,0.0,44.57355,1451.32,114.117,885,533,533,365,KEMA
2012-01-03,Well_#2,24.0,3489,208.116,0.0,46.36498,1388.67,141.521,1802,1118,1118,710,KEMA
2012-01-04,Well_#2,24.0,3380,208.142,0.0,46.2788,1249.51,135.385,2590,1572,1572,1111,KEMA
2012-01-05,Well_#2,24.0,3303,208.188,0.0,46.43129,1168.99,133.258,3381,2026,2026,1517,KEMA
2012-01-06,Well_#2,24.0,3225,208.199,0.0,46.53332,1111.55,139.079,4164,2474,2474,1928,KEMA
2012-01-07,Well_#2,24.0,3174,208.092,0.0,45.95438,1050.55,127.404,4739,2804,2804,2390,KEMA
2012-01-08,Well_#2,24.0,3128,208.087,0.0,46.66811,982.137,129.574,5365,3161,3161,2903,KEMA
2012-01-09,Well_#2,17.67,3087,207.561,0.0,35.26429,876.559,118.863,5721,3364,3364,3186,KEMA
2012-01-10,Well_#2,20.67,3045,207.689,0.0,39.56518,944.614,129.359,6144,3605,3605,3497,KEMA
2012-01-11,Well_#2,24.0,3036,207.936,0.0,46.43246,878.532,129.275,6631,3881,3881,3864,KEMA
2012-01-12,Well_#2,24.0,2989,208.092,0.0,47.57173,913.3,128.119,7228,4222,4222,4283,KEMA
2012-01-13,Well_#2,24.0,2918,208.136,0.0,48.65104,859.43,133.376,7838,4571,4571,4709,KEMA
2012-01-14,Well_#2,24.0,2867,207.519,0.0,54.12785,593.851,110.656,8419,4906,4906,5147,KEMA
2012-01-15,Well_#2,24.0,2876,207.991,0.0,49.02336,652.386,128.746,8880,5169,5169,5477,KEMA
2012-01-16,Well_#2,24.0,2855,207.992,0.0,47.51592,749.812,126.46,9333,5422,5422,5784,KEMA
2012-01-17,Well_#2,24.0,2852,207.985,0.0,47.50523,736.869,126.803,9752,5664,5664,6077,KEMA
2012-01-18,Well_#2,24.0,2852,207.985,0.0,47.50523,719.092,126.803,10194,5918,5918,6369,KEMA
2012-01-19,Well_#2,24.0,2852,207.985,0.0,47.50523,717.902,126.803,10642,6175,6175,6665,KEMA
2012-01-20,Well_#2,18.67,2792,206.979,0.0,28.51822,717.882,126.038,10868,6305,6305,6845,KEMA
2012-01-21,Well_#2,1.0,2826,205.118,0.0,18.20237,265.386,64.729,10876,6309,6309,6851,KEMA
2012-01-22,Well_#2,0.0,2925,200.202,0.0,0.0,457.699,44.788,10876,6309,6309,6851,KEMA
2012-01-23,Well_#2,0.0,2985,198.778,0.0,0.0,653.414,44.398,10876,6309,6309,6851,KEMA
2012-01-24,Well_#2,0.0,3028,197.653,0.0,0.0,958.931,47.131,10876,6309,6309,6851,KEMA
2012-01-25,Well_#2,0.0,3111,197.289,0.0,0.0,1205.88,47.33,10876,6309,6309,6851,KEMA
2012-01-26,Well_#2,0.0,3260,197.681,0.0,0.0,1322.42,49.814,10876,6309,6309,6851,KEMA
2012-01-27,Well_#2,0.0,3312,197.516,0.0,0.0,1396.03,49.49,10876,6309,6309,6851,KEMA
2012-01-28,Well_#2,0.0,3348,197.321,0.0,0.0,1421.98,45.863,10876,6309,6309,6851,KEMA
2012-01-29,Well_#2,13.69,3221,201.227,0.0,30.15217,464.912,54.074,10876,6309,6309,6851,KEMA
2012-01-30,Well_#2,14.73,3242,198.054,0.0,32.56491,420.636,42.821,10876,6309,6309,6851,KEMA
2012-01-31,Well_#2,0.0,3279,196.084,0.0,0.0,799.933,48.891,10876,6309,6309,6851,KEMA
2012-02-01,Well_#2,0.0,3306,195.809,0.0,0.0,1033.7,46.204,10876,6309,6309,6851,KEMA
2012-02-02,Well_#2,0.0,3336,195.752,0.0,0.0,1199.92,45.868,10876,6309,6309,6851,KEMA
2012-02-03,Well_#2,0.0,3444,196.231,0.0,0.0,1306.92,47.333,10876,6309,6309,6851,KEMA
2012-02-04,Well_#2,0.0,3516,196.26,0.0,15.26324,957.257,45.897,10876,6309,6309,6851,KEMA
2012-02-05,Well_#2,0.0,3553,196.199,0.0,15.7418,1.983,43.092,10876,6309,6309,6851,KEMA
2012-02-06,Well_#2,0.0,3575,196.131,0.0,0.0,2.024,47.765,10876,6309,6309,6851,KEMA
2012-02-07,Well_#2,0.0,3592,196.059,0.0,0.0,2.481,50.775,10876,6309,6309,6851,KEMA
2012-02-08,Well_#2,0.0,3607,195.989,0.0,0.0,3.125,49.006,10876,6309,6309,6851,KEMA
2012-02-09,Well_#2,10.48,3413,206.689,0.0,20.64382,727.862,109.38,11001,6389,6389,7322,KEMA
2012-02-10,Well_#2,24.0,3326,207.948,0.0,47.42959,898.518,144.468,11403,6633,6633,7986,KEMA
2012-02-11,Well_#2,24.0,3240,208.14,0.0,47.49053,893.517,133.354,11877,6918,6918,8543,KEMA
2012-02-12,Well_#2,24.0,3173,208.191,0.0,47.47677,868.465,138.034,12343,7197,7197,9093,KEMA
2012-02-13,Well_#2,24.0,3096,206.724,0.0,46.9557,808.881,137.155,12767,7451,7451,9628,KEMA
2012-02-14,Well_#2,24.0,3080,208.168,0.0,47.55408,762.842,144.717,13188,7703,7703,10172,KEMA
2012-02-15,Well_#2,24.0,3020,206.581,0.0,46.60391,751.482,136.523,13607,7952,7952,10711,KEMA
2012-02-16,Well_#2,24.0,3021,208.132,0.0,47.55733,735.971,133.54,14027,8203,8203,11179,KEMA
